date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:57	6416/6416	---M--	200	added ('OK')	image/svg+xml	etag:%221910-58ed2236118a9%22	http://axilthemes.com/demo/template/papr/assets/images/logo-black.svg	papr/papr/axilthemes.com/demo/template/papr/assets/images/logo-black.svg	(from http://axilthemes.com/demo/template/papr/)
10:30:58	127351/127351	---M-Z	200	added ('OK')	text/html	etag:%221f177-58ed0fc7a9252-gzip%22	http://axilthemes.com/demo/template/papr/home-2.html	papr/papr/axilthemes.com/demo/template/papr/home-2.html	(from http://axilthemes.com/demo/template/papr/)
10:30:59	102911/102911	---M-Z	200	added ('OK')	text/html	etag:%22191ff-58ed0fc7a9252-gzip%22	http://axilthemes.com/demo/template/papr/home-3.html	papr/papr/axilthemes.com/demo/template/papr/home-3.html	(from http://axilthemes.com/demo/template/papr/)
10:31:00	26865/26865	---M-Z	200	added ('OK')	text/html	etag:%2268f1-58ed0fc7a9252-gzip%22	http://axilthemes.com/demo/template/papr/home-4.html	papr/papr/axilthemes.com/demo/template/papr/home-4.html	(from http://axilthemes.com/demo/template/papr/)
10:31:01	31923/31923	---M-Z	200	added ('OK')	text/html	etag:%227cb3-58ed0fc7a9252-gzip%22	http://axilthemes.com/demo/template/papr/home-5.html	papr/papr/axilthemes.com/demo/template/papr/home-5.html	(from http://axilthemes.com/demo/template/papr/)
10:31:02	114173/114173	---M-Z	200	added ('OK')	text/html	etag:%221bdfd-58ed0fc7aa1f2-gzip%22	http://axilthemes.com/demo/template/papr/post-layout-one.html	papr/papr/axilthemes.com/demo/template/papr/post-layout-one.html	(from http://axilthemes.com/demo/template/papr/)
10:31:03	42518/42518	---M-Z	200	added ('OK')	text/html	etag:%22a616-58ed0fc7ab192-gzip%22	http://axilthemes.com/demo/template/papr/post-layout-two.html	papr/papr/axilthemes.com/demo/template/papr/post-layout-two.html	(from http://axilthemes.com/demo/template/papr/)
10:31:04	70506/70506	---M-Z	200	added ('OK')	text/html	etag:%221136a-58ed0fc7ab192-gzip%22	http://axilthemes.com/demo/template/papr/post-layout-three.html	papr/papr/axilthemes.com/demo/template/papr/post-layout-three.html	(from http://axilthemes.com/demo/template/papr/)
10:31:05	67096/67096	---M-Z	200	added ('OK')	text/html	etag:%2210618-58ed0fc7aa1f2-gzip%22	http://axilthemes.com/demo/template/papr/post-layout-four.html	papr/papr/axilthemes.com/demo/template/papr/post-layout-four.html	(from http://axilthemes.com/demo/template/papr/)
10:31:06	71436/71436	---M-Z	200	added ('OK')	text/html	etag:%221170c-58ed0fc7aa1f2-gzip%22	http://axilthemes.com/demo/template/papr/post-layout-five.html	papr/papr/axilthemes.com/demo/template/papr/post-layout-five.html	(from http://axilthemes.com/demo/template/papr/)
